datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
01/01/2011 00:00,1,0,0,1,9.84,14.395,81,0,3,13,16
01/01/2011 01:00,1,0,0,1,9.02,13.635,80,0,8,32,40
01/01/2011 02:00,1,0,0,1,9.02,13.635,80,0,5,27,32
02/03/2011 11:00,1,0,1,1,13.94,15.15,53,22.0028,8,65,73
02/03/2011 12:00,1,0,1,1,16.4,20.455,43,12.998,20,62,82
02/03/2011 13:00,1,0,1,1,20.5,24.24,25,0,35,90,125
02/03/2011 14:00,1,0,1,1,21.32,25,23,19.9995,21,75,96
02/03/2011 15:00,1,0,1,1,22.14,25.76,19,27.9993,19,91,110
02/03/2011 16:00,1,0,1,1,22.14,25.76,19,22.0028,27,112,139
02/03/2011 17:00,1,0,1,1,20.5,24.24,23,19.0012,30,238,268
02/03/2011 18:00,1,0,1,1,18.86,22.725,23,32.9975,8,193,201
02/03/2011 19:00,1,0,1,1,16.4,20.455,28,35.0008,6,144,150
02/03/2011 20:00,1,0,1,1,14.76,16.665,29,27.9993,9,86,95
02/03/2011 21:00,1,0,1,1,13.94,14.395,29,31.0009,3,68,71
02/03/2011 22:00,1,0,1,1,12.3,12.88,26,36.9974,4,44,48
02/03/2011 23:00,1,0,1,1,10.66,10.605,30,35.0008,0,22,22
03/03/2011 00:00,1,0,1,1,9.84,9.85,30,31.0009,3,10,13
03/03/2011 01:00,1,0,1,1,9.84,9.85,30,31.0009,0,1,1
03/03/2011 02:00,1,0,1,1,8.2,8.335,27,31.0009,1,2,3
03/03/2011 03:00,1,0,1,1,8.2,8.335,27,31.0009,0,1,1
03/03/2011 04:00,1,0,1,1,6.56,6.06,31,32.9975,0,1,1
03/03/2011 05:00,1,0,1,1,5.74,6.06,33,19.9995,1,7,8
03/03/2011 06:00,1,0,1,1,5.74,6.06,33,19.9995,1,34,35
03/03/2011 07:00,1,0,1,1,4.92,4.545,42,27.9993,1,110,111
03/03/2011 08:00,1,0,1,1,5.74,6.06,39,19.9995,4,216,220
03/03/2011 09:00,1,0,1,1,6.56,6.82,37,19.0012,10,135,145
03/03/2011 10:00,1,0,1,1,7.38,9.09,29,12.998,7,49,56
